▶ Playwright 크롤러 시작 · limit=1000 concurrency=3 dryRun=false
✓ 로그인
✓ 대상 345 건
✓ Chromium 실행
  [86/345] MohammediKurdi (mohammedikurdi.com) → (none)   3.4s/lead · found=0
  [87/345] Mizuki (mizukimv.com) → (none)   3.5s/lead · found=0
  [88/345] Nayda KBeauty (naydakbeauty.com) → (none)   3.7s/lead · found=0
  [89/345] Mimimi.KG → (none)   3.7s/lead · found=0
  [90/345] Moida K-Beauty → (none)   3.8s/lead · found=0
  [91/345] Mizuki (mizukimv.com) → (none)   3.7s/lead · found=0
  [92/345] Mimi K-Beauty (IMI Beauty) — Mall of San → (none)   3.8s/lead · found=0
  [93/345] Mend Bahamas (mendbhs.com) → (none)   3.8s/lead · found=0
  [94/345] Massy Distribution (Jamaica) Limited → (none)   3.7s/lead · found=0
  [95/345] Meliora Beauty Shop (meliorabeautyshop.e → (none)   3.8s/lead · found=0
  [96/345] Me Cosmetics Bahrain (mebeautycosmetics. → (none)   3.7s/lead · found=0
  [97/345] Meliora Beauty Shop → (none)   3.8s/lead · found=0
  [98/345] Medicare Vietnam → (none)   3.7s/lead · found=0
  [99/345] Military Prestige Marketing, LLC → (none)   3.7s/lead · found=0
  [100/345] MakeUpHye → (none)   3.7s/lead · found=0
  [101/345] Macy's — K-Beauty category → (none)   3.7s/lead · found=0
  [102/345] Luma (holaluma.com) → (none)   3.7s/lead · found=0
  [103/345] London Drugs (Western Canada) → (none)   3.7s/lead · found=0
  [104/345] LOOKS Beauty Store (Tops / Central Retai → (none)   3.7s/lead · found=0
  [105/345] LOOKFANTASTIC (THG) → (none)   3.7s/lead · found=0
  [106/345] Life Healthcare Group (LHG) → (none)   3.7s/lead · found=0
  [107/345] LeCoreane → (none)   3.7s/lead · found=0
  [108/345] lecoreane → (none)   3.7s/lead · found=0
  [109/345] M Cosmetic → (none)   3.7s/lead · found=0
  [110/345] Loft (Seibu HD / Loft Co.) → (none)   3.7s/lead · found=0
  [111/345] Landing International → (none)   3.7s/lead · found=0
  [112/345] KÜTY (kuty.mx) → (none)   3.7s/lead · found=0
  [113/345] La Paz Cosmetics → (none)   3.7s/lead · found=0
  [114/345] Kutie Beauty Mexico (kbeautymexico.com) → (none)   3.7s/lead · found=0
  [115/345] Kukalemon (kukalemon.com) → (none)   3.8s/lead · found=0
  [116/345] Kukalemon → (none)   3.8s/lead · found=0
  [117/345] Kristyl Beauty → (none)   3.8s/lead · found=0
  [118/345] LECO (leco.rs) → (none)   3.8s/lead · found=0
  [119/345] Kronans Apotek → (none)   3.8s/lead · found=0
  [120/345] Kosmetics CR (kosmeticscr.com) → (none)   3.8s/lead · found=0
  ↺ 브라우저 재시작 (누적 120건 · 발견 0건)
  [122/345] Ksisters → (none)   3.8s/lead · found=0
  [123/345] Ksisters (ksisters.lv) → (none)   3.7s/lead · found=0
  [123/345] Ksisters Hungary (ksisters.hu) → (none)   3.7s/lead · found=0
  [125/345] KoreShop → (none)   3.7s/lead · found=0
  [125/345] Koreshop (koreshop.com.tr) → (none)   3.7s/lead · found=0
  [126/345] KoreanBeauty.ma → (none)   3.8s/lead · found=0
  [127/345] koreancosmetic.gr → (none)   3.7s/lead · found=0
  [128/345] Korean Skin Lab (koreanskinlabcy.com) → (none)   3.8s/lead · found=0
  [129/345] Koreanbeauty.ma → (none)   3.8s/lead · found=0
  [130/345] Korean Shop Monte (en.koreanshopmonte.co → (none)   3.8s/lead · found=0
  [131/345] Korean Shop Serbia → (none)   3.8s/lead · found=0
  [132/345] Koreancare.bg → (none)   3.8s/lead · found=0
  [133/345] Korean Shop (kshopcosmetics.com) → (none)   3.8s/lead · found=0
  [134/345] Korean Megastore Belle (KMBelle) → (none)   3.8s/lead · found=0
  [135/345] Korean Megastore Belle (KM Belle) → (none)   3.8s/lead · found=0
  [136/345] Koreanbeauty.no → (none)   3.8s/lead · found=0
  [137/345] Korean Cosmetics Love → (none)   3.9s/lead · found=0
